AAA             Area Aboriginal Advisors
MRP_SYS         Mark Recovery Program - System
MSDI            Marine Spatial Data Infrastructure
MSE             Management Strategy Evaluation
MSP             Marine Spatial Planning
MSY             Maximum Sustainable Yield
MU              Management Unit
MVI             Mid Vancouver Island
NCA             North Coast Area
NETS/FILETS     National Enforcement Tracking Systems
NHQ             National Headquarters
NMCA            National Marine Conservation Area
NMCAR           National Marine Conservation Area Reserve
NOLS            National Online Licensing System
NPAFC           North Pacific Anadromous Fisheries Commission
NPFC            North Pacific Fisheries Commission
NRKW            Northern Resident Killer Whale
NRLS            National Recreational Licensing System
NSB             Northern Shelf Bioregion
NSLIS           National Special Licence Issue System
NSLIS           National Special Licensing Issuance System
NuSEDS          Salmon Escapement Data System
NWA             National Wildlife Area
OPS             Operations and Planning Committee
OSD             Ocean Sciences Division
OTOLITH_LAB     Otolith Laboratory Reader
OTOLITH_ONLINE  Otolith Online Manager
PA              Precautionary Approach
PACHARV3        Pacific Harvest System 3.0
PACSEARCH       Pac Search - Licensing Data Portal and Vessel Hail in/Hail out Reporting
PAC_ADMIN       PAC ADMIN (Pacific Single-Sign-On User Access - Administrative Application)
PADS            Pacific Age Database System
PaRR            Pacific Region Restoration Tracker
PARR            Program for Aquaculture Regulatory Research
PATS            Policy Advice and Treaty Support
PBT             Parentage Based Tagging
PCO             Privy Council Office
PD              Program Delivery
pDBE            Proportional Difference Between Estimates
PFMA            Pacific Fisheries Management Areas
PICC            Pacific Indigenous Coordinating Committee
PICFI           Pacific Integrated Commercial Fisheries Initiative
PLC             Pacific Litigation Committee
PLS             Pacific Licensing System
pMA             Proportional Management Adjustment
PNCIMA          Pacific North Coast Integrated Management Area
PSARC           Pacific Scientific Advice Review Committee
PSC             Pacific Salmon Commission
PSEC            Pacific Science Enterprise Centre
PSESC           Pacific Salmon Executive Steering Committee
PSF             Pacific Salmon Foundation
PSM             Pre-Spawn Mortality
PSSI            Pacific Salmon Strategy Initiative
PST             Pacific Salmon Treaty
R&P             Reconciliation & Partnerships Branch
R2R             Road to Results
RAMS            Risk Assessment Method for Salmon
RCC             Reconciliation Coordinating Committee
RD              Regional Director
RDG             Regional Director General
REFDATA         Reference Data System
REF_DIFF        Reference Data Repository Comparison process
RFA             Reconciliation Framework Agreement
RHQ             Regional Headquarters
RIRSD           Recognition of Indigenous Rights and Self-Determination
RMC             Regional Management Committee
RPA             Recovery Potential Assessment
RPSS            Real Property and Safety & Security
RRAP            Pacific Regional Reconciliation Action Plan
RRP             Regional Response Planning
SAP             Salmon Allocation Policy
SAR             Species at Risk; or, Search and Rescue
SARA            Species at Risk Act
SARP            Species at Risk Program
SCA             South Coast Area
SCAT            Shoreline Clean-Up Assessment Technique
SCH             Small Craft Harbour
SDC             Strategic Directions Committee
SDC             Strategic Salmon Directions Committee
SEA             Socio-Economic Analysis
SEG             Sustainable Escapement Goal
SEP             Salmonid Enhancement Program
SFAB            Sport Fishing Advisory Board
SFAC            Sport Fishing Advisory Committee
SFNTC           Skeena First Nation Technical Committee
SGEN            Spawner abundance required to get to SMSY in 1 generation
SHMF            Selective Hatchery Mark Fishery
SME             Subject Matter Expert
SMSY            Spawners at Maximum Sustainable Yield
SMU             Stock Management Unit
SoG             Strait of Georgia
SOPO            State of the Pacific Ocean
SoS             State of Salmon
SPA             Scale Patterns Analysis
SPERA           Strategic Program for Ecosystem-based Research and Advice
SPPCU           Strategic Partnerships and Program Coordination Unit
SPU             Strategic Planning Unit
SRKW            Southern Resident Killer Whales
SRP             Spill Response Plan
SSI             Salish Sea Initiative; or, Strategic Science Initiatives
StAR            Stock Assessment and Research
TAC             Total Allowable Catch
TAM             Total Allowable Mortality
TBS             Treasury Board of Canada Secretariat
TRC             Truth and Reconciliation Commission
UNDRIP          United Nations Declaration on the Rights of Indigenous Peoples
VEC             Valued Ecosystem Components
WCVI            West Coast Vancouver Island
WSP             Wild Salmon Policy
YSC             Yukon Salmon Sub-Committee┬
YSRA            Yukon River Salmon Agreement
YTRA            Yukon Transboundary Rivers Area
